"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"42F0",0.500000000000057,56.7500000000001,-90.6767013888889,90.6767013888889,69,243,174,170.526239629891,260.526239629891,0.00509383135460663,-83,72.3888888888889,28800,28800,20848,5.50000000000006,FALSE,FALSE
"42F1",1.4999999998002,56.7500000000001,-91.7795833333333,91.7795833333333,78,152,74,49.910231261653,139.910231261653,0.00203529228708189,-95,54.3993055555556,28800,28800,15667,6.4999999998002,FALSE,FALSE
"42F2",2.50000000004999,56.7500000000001,-73.465,73.465,24,95,71,0,90,0,-70,43.2673611111111,28800,28800,12461,6.75000000000006,TRUE,FALSE
"42F3",3.50000000029982,56.7500000000001,-63.6653125,63.6653125,38,92,54,134.207596878781,224.207596878781,0.00250638507866738,-60,38.2430555555556,28800,28800,11014,6.49999999970018,TRUE,FALSE
"42F4",4.50000000009999,56.7500000000001,-59.8383680555555,59.8383680555555,44,78,34,53.8878788868479,143.887878886848,0.000741304492761293,-56,70.3576388888889,28800,28800,20263,5.49999999990001,FALSE,FALSE
"42F5",5.49999999990013,56.7500000000001,-55.7939236111111,55.7939236111111,32,90,58,132.362337966134,222.362337966134,0.000324198348333963,-55,92.5138888888889,28800,28800,26644,4.50000000009988,FALSE,FALSE
"42F6",6.49999999970026,56.7500000000001,-42.3773263888889,42.3773263888889,25,75,50,216.16895601992,306.16895601992,0.000811801056587969,-44,98.9548611111111,28800,28800,28499,3.50000000029974,FALSE,FALSE
"42F7",7.49999999995009,56.7500000000001,-29.3489930555556,29.3489930555556,14,50,36,316.183659072242,46.183659072242,0.00121098430230778,-27,100,28800,28800,28800,2.50000000004991,FALSE,FALSE
"43E8",-1.50000000004991,57.2500000003498,-67.8601388888889,67.8601388888889,-137,140,277,119.630100901078,209.630100901078,0.00358262643329652,-73,99.1406852484301,28800,27231,26997,3.49999999995009,FALSE,FALSE
"43E9",-0.499999999800082,57.2500000003498,-75.7569097222222,75.7569097222222,57,101,44,319.418526984587,49.4185269845865,0.00349826495970864,-74,98.875,28800,28800,28476,4.50000000019992,FALSE,FALSE
"43F0",0.500000000000057,57.2500000003498,-83.7032291666667,83.7032291666667,60,125,65,16.9249075704094,106.924907570409,0.00370287305483014,-81,62.6631944444444,28800,28800,18047,5.50000000000006,FALSE,FALSE
"43F1",1.4999999998002,57.2500000003498,-90.9011458333333,90.9011458333333,77,115,38,245.953880381228,335.953880381228,0.00380355049543567,-95,55.8993055555556,28800,28800,16099,6.4999999998002,FALSE,FALSE
"43F2",2.50000000004999,57.2500000003498,-77.1101041666667,77.1101041666667,62,96,34,322.861013280046,52.8610132800457,0.00138869231267594,-88,50.7916666666667,28800,28800,14628,7.25000000034981,FALSE,FALSE
"43F3",3.50000000029982,57.2500000003498,-63.4958680555556,63.4958680555556,51,76,25,285.875067460993,15.8750674609925,0.00161881355090623,-61,40.875,28800,28800,11772,6.49999999970018,TRUE,FALSE
"43F4",4.50000000009999,57.2500000003498,-64.8782986111111,64.8782986111111,45,94,49,203.401975433636,293.401975433636,0.00120625373170208,-60,76.8888888888889,28800,28800,22144,5.49999999990001,FALSE,FALSE
"43F5",5.49999999990013,57.2500000003498,-64.8989583333333,64.8989583333333,38,95,57,120.462518656903,210.462518656903,0.00305703637641322,-56,96.9583333333333,28800,28800,27924,4.50000000009988,FALSE,FALSE
"43F6",6.49999999970026,57.2500000003498,-75.445625,75.445625,30,192,162,72.8766667222085,162.876666722209,0.000751981898883135,-69,90.1979166666667,28800,28800,25977,3.50000000029974,FALSE,FALSE
"43F7",7.49999999995009,57.2500000003498,-70.7616319444444,70.7616319444444,18,218,200,78.3933942222431,168.393394222243,0.00110047587431024,-56,99.5590277777778,28800,28800,28673,2.50000000004991,FALSE,FALSE
"44E6",-3.50000000009987,57.7500000002499,13.6814583333333,-13.6814583333333,-438,100,538,123.793999360494,213.793999360494,0.00807105326382725,-62,94.6213191350646,28800,18406,17416,1.49999999990013,FALSE,FALSE
"44E7",-2.50000000029974,57.7500000002499,-2.88520833333333,2.88520833333333,-387,233,620,25.4940008959614,115.494000895961,0.0116876131083427,-112,99.983579638752,28800,18270,18267,2.49999999970027,FALSE,FALSE
"44E8",-1.50000000004991,57.7500000002499,-78.5356597222222,78.5356597222222,-91,219,310,16.9576475116413,106.957647511641,0.00657054814052239,-74,99.587218516198,28800,27133,27021,3.49999999995009,FALSE,FALSE
"44E9",-0.499999999800082,57.7500000002499,-102.919409722222,102.919409722222,80,126,46,160.417339759573,250.417339759573,0.00142943688911273,-108,99.4340277777778,28800,28800,28637,4.50000000019992,FALSE,FALSE
"44F0",0.500000000000057,57.7500000002499,-112.989895833333,112.989895833333,79,152,73,146.60829247489,236.60829247489,0.00457022988543709,-101,89.4409722222222,28800,28800,25759,5.50000000000006,FALSE,FALSE
"44F1",1.4999999998002,57.7500000002499,-92.0696875,92.0696875,78,137,59,0,90,0.000673378364496583,-91,74.6493055555556,28800,28800,21499,6.4999999998002,FALSE,FALSE
"44F2",2.50000000004999,57.7500000002499,-73.2134027777778,73.2134027777778,57,89,32,267.382968359577,357.382968359577,0.00491589483271339,-72,71.2361111111111,28800,28800,20516,7.24999999975012,FALSE,FALSE
